timestamp,x,y,z,orientation_x,orientation_y,orientation_z,orientation_w
3235.36,9.06634,1.46771,0,0,0,0.995427,0.0955225
3235.57,8.95541,1.491,0,0,0,0.99544,0.0953895
3235.76,8.84195,1.5151,0,0,0,0.99539,0.095914
3235.95,8.73049,1.53459,0,0,0,0.995512,0.0946302
3236.17,8.62252,1.55449,0,0,0,0.995672,0.0929337
3236.37,8.51153,1.57123,0,0,0,0.995634,0.0933454
3236.57,8.408,1.59055,0,0,0,0.995549,0.0942462
3236.77,8.30747,1.60804,0,0,0,0.996942,0.0781488
3236.97,8.20154,1.62586,0,0,0,0.998864,0.0476449
3237.17,8.09458,1.63365,0,0,0,0.999589,0.0286762
3237.36,7.98246,1.63666,0,0,0,0.999931,0.0117833
3237.57,7.88317,1.63906,0,0,0,0.999991,0.0042516
3237.77,7.77548,1.64236,0,0,0,-1,0.000373425
3237.97,7.66551,1.64318,0,0,0,-1,1.12014e-05
3238.17,7.55775,1.64286,0,0,0,0.999999,0.00158104
3238.36,7.45146,1.64171,0,0,0,0.999998,0.00194613
3238.56,7.34587,1.64044,0,0,0,0.999996,0.00298991
3238.76,7.24375,1.63979,0,0,0,0.999992,0.00402343
3238.98,7.13567,1.64039,0,0,0,0.999996,0.00272886
3239.17,7.03123,1.64014,0,0,0,0.999998,0.0020474
3239.37,6.92714,1.63783,0,0,0,0.999996,0.00290043
3239.59,6.81435,1.63893,0,0,0,0.999994,0.00346423
3239.77,6.70676,1.6377,0,0,0,1,0.000821566
3239.97,6.59721,1.63663,0,0,0,0.999987,0.00500526
3240.21,6.48442,1.63825,0,0,0,0.999944,0.0105743
3240.4,6.37601,1.64163,0,0,0,0.99981,0.0194875
3240.6,6.26312,1.64512,0,0,0,0.999566,0.0294733
3240.8,6.156,1.65427,0,0,0,0.998705,0.0508732
3241,6.05384,1.66936,0,0,0,0.997827,0.0658941
3241.19,5.95107,1.68728,0,0,0,0.996498,0.0836222
3241.4,5.85167,1.70694,0,0,0,0.995577,0.0939454
3241.61,5.74927,1.72649,0,0,0,0.994271,0.106889
3241.8,5.64314,1.74849,0,0,0,0.993472,0.114079
3242.01,5.54197,1.774,0,0,0,0.993226,0.116203
3242.27,5.41315,1.80524,0,0,0,0.993537,0.113512
3242.6,5.30256,1.83241,0,0,0,0.993839,0.110833
3243.08,5.18818,1.85535,0,0,0,0.995341,0.0964137
3243.73,5.07964,1.87438,0,0,0,0.996139,0.0877881
3244.34,5.06369,1.87722,0,0,0,0.999405,0.0344865
3245.84,4.94673,1.8878,0,0,0,0.9989,0.046883
3246.03,4.83597,1.89766,0,0,0,0.998535,0.0541105
3246.23,4.73625,1.9076,0,0,0,0.997871,0.0652173
3246.44,4.62759,1.92477,0,0,0,0.996912,0.0785311
3246.64,4.52662,1.94031,0,0,0,0.997253,0.074077
3246.84,4.42228,1.95507,0,0,0,0.997033,0.0769795
3247.03,4.31267,1.97181,0,0,0,0.996389,0.0849045
3247.24,4.20707,1.98987,0,0,0,0.995671,0.0929445
3247.43,4.10071,2.01269,0,0,0,0.996158,0.087576
3247.63,3.9968,2.03117,0,0,0,0.996098,0.0882492
3247.83,3.88365,2.04967,0,0,0,0.995402,0.0957877
3248.04,3.78333,2.06973,0,0,0,0.995036,0.0995167
3248.23,3.68429,2.08949,0,0,0,0.995463,0.095151
3248.48,3.57568,2.10801,0,0,0,0.995964,0.0897526
3248.67,3.46208,2.12608,0,0,0,0.996177,0.0873585
3248.88,3.36483,2.1412,0,0,0,0.995731,0.0923069
3249.07,3.25426,2.16198,0,0,0,0.995688,0.0927619
3249.27,3.15357,2.18026,0,0,0,0.99568,0.0928466
3249.47,3.05582,2.20054,0,0,0,0.995919,0.0902512
3249.67,2.95527,2.21784,0,0,0,0.995942,0.0900019
3249.86,2.85195,2.23776,0,0,0,0.996126,0.0879393
3250.07,2.74508,2.2544,0,0,0,0.995908,0.0903722
3250.27,2.64067,2.27468,0,0,0,0.995821,0.091324
3250.47,2.53061,2.29439,0,0,0,0.996242,0.0866171
3250.66,2.42641,2.31186,0,0,0,0.998261,0.0589487
3250.87,2.32481,2.32151,0,0,0,0.999215,0.0396081
3251.06,2.21889,2.32748,0,0,0,0.999751,0.0222928
3251.27,2.11004,2.33241,0,0,0,0.999914,0.0130783
